DataName,Data 2025-03-15 17-10-51_002,FrameRate,120,StartTime,2025.03.15 20:11:56:517,FrameCount,557,LengthUnits,mm,CoordinateSpace,World

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
7,0.058333,0.169898,0.975622,0.138884,0.002898,335.285767,1700.843994,-276.119690,0.035138,-0.992974,0.116162,1.000362,-11.620019,-1.633007,-9.264550,14.950700,-8.870188,0.831802,3.590965,-210.343201,-7.998719,-128.830429,125.665688,1750.345337,-301.260498,376.657440,1711.062866,-403.685883,537.396423,1645.091553,-198.852173,,,,0.210690,0.933887,-0.050232,-0.284501,428.383728,1682.930786,-597.905518,0.130283,-1.452275,-0.014180,1.458176,-11.888086,-0.861325,8.789942,14.809847,3.686666,-1.381704,8.287479,0.706615,137.473190,-77.712471,572.153687,1643.323853,-645.481079,,,,380.441956,1710.392822,-468.429596,142.992035,1743.673218,-599.340698,340.102051,1722.318481,-679.176514,308.754608,1724.593018,-202.403961,2627.938721,37.125488,1375.122070,2654.811523,53.804016,1305.388794,2663.020996,37.632660,1330.001953,2455.741699,133.364899,1465.868652,338.454407,1299.027100,-400.368866,828.701233,762.536011,-79.048462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.066667,0.181897,0.967542,0.175359,0.005056,333.506714,1692.507080,-277.069244,-0.065229,-1.002378,0.038972,1.005254,-12.044092,-1.128516,-9.262793,15.235912,-8.891845,0.576403,3.093166,-2.598839,-30.647892,-59.735954,125.890541,1749.242798,-300.959320,376.667053,1711.039673,-403.644806,532.990173,1625.751343,-201.129578,,,,0.235372,0.925535,-0.078395,-0.286076,425.044250,1672.556152,-597.422058,-0.004933,-1.417778,0.053921,1.418812,-16.225927,4.139643,8.172070,18.633307,4.808360,-0.203411,7.860293,134.603165,141.395096,-51.262318,566.616943,1624.822388,-645.084229,,,,380.321930,1710.419434,-468.385010,141.841476,1742.739746,-598.760376,336.475037,1708.318604,-679.641785,306.256592,1710.960693,-201.405823,2627.908447,37.131809,1375.126343,2654.809570,53.792725,1305.424683,2662.726562,37.658440,1330.077759,2455.750977,133.388367,1465.869629,339.434021,1298.636841,-400.198029,829.039856,762.638733,-79.077873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.075000,0.188461,0.960171,0.206098,0.008820,331.256805,1685.647217,-278.504333,-0.159803,-0.968130,-0.032787,0.981778,-11.348877,4.109766,-8.611083,14.826933,-7.605770,0.182642,1.725315,154.329010,-47.251385,-164.142014,124.976929,1747.175171,-301.985931,376.657013,1711.333130,-403.706818,528.536743,1610.853394,-203.129669,,,,0.253075,0.916537,-0.101589,-0.292563,420.989899,1664.831177,-597.436279,-0.170804,-1.307271,0.068276,1.320148,-19.904591,13.260941,1.722656,23.979425,4.473258,1.081942,5.911847,-40.212189,154.242416,-233.813599,559.507202,1611.147095,-646.615845,,,,380.254822,1710.713989,-468.495331,140.499664,1741.667236,-595.816956,328.912292,1696.418945,-678.820679,302.137573,1698.430664,-202.035049,2627.933105,37.148293,1375.134766,2654.804199,53.817596,1305.331909,2662.832031,37.678280,1330.093262,2455.744873,133.350418,1465.851318,339.256195,1298.815918,-400.226929,828.491699,762.393494,-79.326691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.083333,0.189425,0.955378,0.226155,0.014995,328.503387,1681.065186,-280.511353,-0.229911,-0.876284,-0.104546,0.911956,-8.412889,11.021482,-8.611083,16.321781,-5.136793,-0.573601,0.175959,296.277161,-90.749115,-185.922745,123.050072,1744.699097,-305.463348,376.205902,1711.464844,-404.271057,524.123657,1602.010498,-203.876221,,,,0.262527,0.908093,-0.120584,-0.303160,416.282654,1660.575806,-597.570374,-0.320966,-1.103584,0.063669,1.151074,-18.019335,24.442375,-0.552832,30.371561,4.364383,2.000761,3.667931,-13.064975,110.258240,-269.269867,552.450317,1603.189941,-649.498352,,,,380.042511,1711.914673,-468.640869,137.214417,1740.991333,-590.022095,319.188110,1684.136719,-675.973083,296.238312,1686.322876,-204.294647,2627.928955,37.099133,1375.136963,2654.812500,53.780605,1305.292236,2662.725342,37.680878,1330.127075,2455.818115,133.379959,1465.863281,337.843445,1299.061523,-400.464081,828.971252,762.519531,-78.951408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.091667,0.180381,0.952096,0.245605,0.025575,325.779053,1679.034302,-283.516266,-0.264034,-0.717480,-0.187716,0.787229,-4.094823,19.056450,-9.980420,21.898052,-5.151695,-1.062597,-2.429055,-1.788254,-58.679493,-312.601746,119.720169,1741.395386,-312.955444,377.056610,1714.254639,-404.689972,520.497498,1599.339722,-203.178604,,,,0.262114,0.901697,-0.133655,-0.316819,411.578217,1659.327515,-597.576904,-0.435088,-0.829189,0.037141,0.937143,-13.694679,32.927345,-3.183398,35.803467,3.924759,2.606936,0.868741,-52.754887,72.740936,-335.902802,546.550171,1601.088013,-653.298401,,,,379.693573,1712.856323,-468.607819,132.302109,1739.601318,-581.278809,309.155731,1672.999878,-671.806458,289.346649,1674.200806,-208.403671,2627.967773,37.119457,1375.137817,2654.823242,53.833145,1305.339600,2662.733643,37.632690,1330.066284,2455.719727,133.371414,1465.868408,337.515289,1299.258911,-400.710510,829.026062,762.530945,-79.070145,,,,747.638062,868.121094,-307.868378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.100000,0.169298,0.951355,0.255070,0.034657,323.121521,1677.535278,-286.598694,-0.291943,-0.559409,-0.251499,0.679280,-3.349074,18.968552,-7.653955,20.726921,-2.667865,-1.016960,-2.977668,298.059631,5.476369,-65.833511,116.083382,1737.284668,-321.108337,376.912842,1715.022461,-404.970856,517.812866,1599.884277,-202.653534,283.999817,1661.849731,-213.463196,0.257523,0.896528,-0.148567,-0.328402,407.663971,1658.683838,-596.208984,-0.497267,-0.581909,0.040715,0.766518,-7.461473,29.673634,0.428906,30.600361,4.471085,1.814441,0.093912,65.559105,-95.099281,-92.979485,542.673096,1600.752808,-654.954102,302.289429,1661.583984,-666.301880,379.111816,1714.003784,-468.356567,127.165733,1736.540283,-571.409363,,,,,,,2627.894531,37.076782,1375.146240,2654.805664,53.776871,1305.316162,2662.870850,37.245872,1329.613525,2455.750488,133.351471,1465.871216,337.402466,1299.289307,-400.844757,828.632446,762.388611,-79.230469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.108333,0.150818,0.949164,0.273641,0.038235,321.945679,1674.962280,-288.874359,-0.277467,-0.421084,-0.283323,0.578422,1.737159,16.599026,-3.818847,17.121010,-4.674061,1.051020,-4.195641,-240.743561,248.157593,-146.156754,113.711929,1733.670898,-326.200623,375.925507,1716.555908,-405.403564,518.023865,1604.569702,-201.848709,280.121246,1645.052856,-222.044479,0.247969,0.892884,-0.175895,-0.332161,406.675507,1657.802490,-594.231995,-0.440856,-0.354097,0.076567,0.570614,6.769334,27.337498,4.302247,28.489859,6.996236,-0.933896,0.189350,303.018066,-329.800415,11.452593,543.287598,1605.382568,-655.196411,299.056274,1647.526611,-659.862854,378.636169,1715.231323,-467.936340,123.731270,1732.840820,-565.225159,,,,,,,2627.888428,37.088497,1375.156494,2654.808350,53.846302,1305.385010,2662.901123,37.492939,1329.880127,2455.712402,133.340103,1465.893799,339.138367,1298.936401,-400.146912,828.891663,762.462708,-79.196022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.116667,0.144944,0.957917,0.245441,0.033849,323.191223,1680.722900,-288.364502,-0.193575,-0.118169,-0.236642,0.327772,10.066992,36.349804,5.601707,38.131767,7.104797,0.444514,-1.625683,1413.462891,-72.780655,308.394928,112.914719,1730.152832,-326.726471,375.327667,1717.638184,-405.865051,522.314758,1614.360840,-201.599960,,,,0.233959,0.893637,-0.201593,-0.325632,409.200806,1658.474976,-592.106201,-0.282938,-0.152549,0.127917,0.345960,18.950098,24.185740,6.162011,31.337303,6.204308,-3.580504,-0.722928,-95.031387,-317.593018,-109.473297,548.318176,1614.752686,-653.925720,302.109711,1633.097046,-653.178162,378.166229,1716.435913,-467.577362,123.508728,1727.814453,-566.005432,,,,281.946960,1628.038696,-231.705185,2627.972900,37.128880,1375.121338,2654.828613,53.849709,1305.439453,2662.892334,37.585739,1329.959229,2455.789062,133.359802,1465.827515,338.653137,1298.593140,-400.703094,828.403687,762.397827,-79.286865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.125000,0.131579,0.965794,0.222123,0.024294,326.441986,1685.769531,-286.974762,-0.049471,0.112896,-0.155123,0.198131,17.292480,27.727736,9.782227,34.110836,6.049489,2.237081,-2.973709,-126.637054,215.107971,-161.763138,113.541267,1727.145264,-323.963196,375.130676,1718.415894,-406.155762,529.717346,1629.707031,-201.551453,,,,0.210348,0.914322,-0.139057,-0.316911,414.506927,1672.012695,-594.143250,-0.042612,0.274468,0.082251,0.289678,28.839109,51.241993,-5.479980,59.054775,-13.068268,-1.118634,-10.699690,-2312.708984,295.424408,-1197.211304,557.964722,1629.308960,-651.162354,,,,377.882660,1717.527710,-467.169189,125.554375,1723.800049,-571.241089,309.227631,1618.434326,-646.268433,290.769257,1614.909912,-237.069839,2627.921143,37.118576,1375.132446,2654.801270,53.800884,1305.351196,2662.897217,37.683865,1330.081177,2455.711670,133.378250,1465.853516,338.878632,1298.472534,-400.592834,828.871033,762.540283,-79.085564,,,,,,,243.611343,1334.783691,-466.633636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.133333,0.115111,0.975107,0.189167,0.011455,331.020020,1692.967773,-284.760376,0.125786,0.334409,-0.029857,0.358529,21.030909,26.581642,15.031934,37.078857,8.447178,2.868281,-3.620089,287.722717,75.744034,-77.565506,115.430267,1723.953613,-318.785217,375.116699,1719.436646,-406.696381,539.037415,1650.238525,-201.618820,,,,0.183793,0.927189,-0.117772,-0.304418,420.568237,1681.656128,-594.078796,0.215757,0.535898,0.083950,0.583769,31.004295,31.371677,0.203906,44.107708,-3.711936,-3.532767,-7.680576,1122.759644,-289.695953,362.293671,567.855652,1648.374023,-648.180359,,,,378.176422,1718.398071,-466.591034,128.467972,1719.739258,-578.025635,322.724701,1609.904541,-642.784851,303.641998,1607.685059,-238.824463,2627.925781,37.161419,1375.109131,2654.795166,53.790382,1305.331177,2662.877930,37.676888,1330.109619,2455.760498,133.351669,1465.851074,338.613434,1298.407104,-400.510803,828.909241,762.430725,-79.312111,,,,,,,191.436478,1318.654785,-472.125977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.141667,0.095610,0.983384,0.154318,0.000569,334.996765,1700.660767,-283.138519,0.285004,0.555000,0.083042,0.629403,19.106102,26.470894,13.547900,35.345394,8.780853,2.493644,-4.395182,40.041042,-44.956482,-93.011162,117.285736,1720.068726,-314.238892,375.338715,1720.439209,-407.557892,546.702820,1672.644409,-202.115097,,,,0.155017,0.938014,-0.093235,-0.295646,425.388184,1692.792847,-594.028992,0.425387,0.818628,0.052317,0.924036,25.155613,33.927540,-3.795996,42.406281,-4.051739,-2.474614,-8.427774,-40.776268,126.978371,-89.663826,575.363342,1669.447021,-646.075562,,,,378.166809,1719.525513,-465.968811,131.676636,1717.033936,-583.194763,335.523651,1609.593750,-643.579712,315.881470,1607.365234,-236.920166,2627.946533,37.148350,1375.125610,2654.796387,53.820885,1305.410034,2662.803223,37.687557,1330.120728,2455.755127,133.347702,1465.830444,338.481079,1299.028809,-400.341431,828.681458,762.397644,-79.172760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.150000,0.072206,0.990008,0.121040,-0.004532,337.355194,1707.818726,-281.965057,0.369825,0.788555,0.165824,0.886615,10.178615,28.026566,9.933838,31.428867,8.215681,1.308237,-5.492893,-67.820663,-142.248764,-131.725388,118.884285,1714.503174,-311.713684,375.885559,1721.211426,-408.106079,550.479797,1695.568359,-201.514542,,,,0.122959,0.945162,-0.072644,-0.293723,427.801331,1703.722290,-594.279602,0.507015,1.102075,-0.001143,1.213110,9.795412,34.013672,-6.415136,35.972683,-2.592934,-0.891575,-8.903146,175.056595,189.964737,-57.044559,579.242737,1691.028076,-646.107239,,,,378.374756,1720.500000,-465.453583,133.089981,1712.507446,-584.830200,343.959381,1614.218750,-646.640564,324.800629,1614.013794,-231.808823,2627.914062,37.136677,1375.154907,2654.813232,53.849770,1305.353516,2662.820557,37.693867,1330.126953,2455.759277,133.387955,1465.889282,,,,828.658508,762.457458,-79.084740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.158333,0.047288,0.994363,0.094793,-0.004589,337.446259,1713.422974,-281.681854,0.342125,0.784805,0.160382,0.871028,-3.324022,-0.450003,-0.653027,3.417319,6.392341,0.277892,-5.967131,-218.800781,-123.641418,-56.908546,119.645699,1707.538940,-311.437347,375.803864,1722.111206,-408.999542,549.902527,1716.116211,-200.327927,,,,0.090024,0.948664,-0.059370,-0.297333,427.248108,1713.253784,-595.009521,0.433132,1.314683,-0.069668,1.385947,-8.865967,25.512899,-8.223047,28.233524,-0.644053,0.389646,-8.574783,233.865662,153.746475,39.403492,578.487732,1711.255615,-648.242737,,,,378.025269,1721.424316,-464.982758,132.776779,1705.392334,-583.887329,347.340118,1622.606567,-650.618774,328.185303,1622.087280,-227.589676,2627.898682,37.093868,1375.152588,2654.812988,53.834881,1305.328613,2662.770508,37.645874,1330.059204,2455.785400,133.349411,1465.853516,,,,829.045837,762.495056,-79.096260,,,,,,,,,,345.177673,1294.911865,-398.065521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.166667,0.020741,0.996963,0.075059,-0.000514,335.724518,1717.028809,-282.093964,0.222777,0.750205,0.117140,0.791302,-14.321777,-4.151952,-5.189063,15.788552,4.752419,-0.595303,-6.437091,-196.790649,-104.783356,-56.395222,119.176453,1698.528687,-313.311554,375.415710,1722.717529,-410.003418,546.194031,1734.068237,-198.503830,,,,0.057368,0.949715,-0.050246,-0.303686,425.119690,1721.365845,-595.922119,0.254707,1.184487,-0.042700,1.212316,-21.411036,-15.623445,3.236133,26.702003,0.375296,1.103328,-8.201083,122.321884,85.641830,44.844013,574.517395,1729.780151,-651.473877,,,,377.580536,1721.919922,-464.053131,132.513962,1696.592041,-582.036743,347.527740,1631.813110,-654.051819,326.897308,1632.754028,-223.139389,2627.929199,37.102180,1375.121826,2654.836914,53.866299,1305.390381,2662.858398,37.663979,1330.113159,2455.746338,133.345139,1465.838867,,,,829.045410,762.670959,-79.000732,,,,,,,,,,345.331146,1294.861816,-397.943268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.175000,-0.006098,0.998347,0.057109,0.001991,333.649170,1720.068848,-282.292572,0.063102,0.650449,0.059227,0.656181,-19.161036,-11.970705,-6.949512,23.637655,4.311497,-0.205585,-6.472661,-52.910610,46.766113,-4.268303,119.659157,1689.087158,-313.878479,374.173004,1723.268066,-410.660126,541.152771,1751.156616,-197.731842,,,,0.025810,0.949900,-0.044642,-0.308270,422.177429,1728.677368,-596.579773,0.038624,1.128516,-0.060022,1.130771,-25.929930,-6.716594,-2.078613,26.866234,1.083967,0.728307,-7.660764,85.040451,-45.002510,64.838272,568.951294,1746.966187,-653.801270,,,,376.579254,1722.657227,-462.995758,132.530060,1687.199097,-581.312988,344.805359,1642.366821,-657.613098,323.259674,1645.633423,-218.866699,2627.881592,37.106312,1375.143188,2654.802002,53.822441,1305.257812,2662.853760,37.858822,1330.307373,2455.680420,133.367722,1465.876099,,,,828.610596,762.401489,-79.148247,,,,,,,,,,345.192810,1294.965332,-398.171600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.183333,-0.031645,0.998898,0.034584,0.002371,332.612518,1723.059326,-282.135834,-0.057220,0.537554,0.024064,0.541126,-14.438672,-13.547458,-4.219629,20.243868,5.393957,0.292458,-6.137436,129.895187,59.765171,40.226894,120.826324,1679.927002,-311.974213,374.501038,1722.652832,-411.378387,536.719482,1768.235962,-198.424377,,,,-0.006268,0.950013,-0.039063,-0.309695,419.545715,1735.981689,-596.799866,-0.140219,1.036523,-0.066497,1.048076,-21.461132,-11.039070,-0.776954,24.146322,1.109158,0.007256,-7.742896,3.023014,-86.526108,-9.855823,563.824707,1764.229614,-654.331787,,,,375.656525,1723.385376,-462.309937,133.227219,1677.582764,-582.248657,341.249176,1655.445068,-661.625549,319.002655,1661.548096,-214.340393,2627.942383,37.173042,1375.125488,2654.804199,53.857365,1305.384033,2662.937500,37.584293,1329.945801,2455.684570,133.378265,1465.849121,,,,828.491943,762.375183,-78.930862,,,,,,,,,,345.740234,1294.819824,-397.660553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
